id,title,note,excerpt,url,tags,created,cover,highlights,favorite
913168816,Illusion of knowledge: is the Dunning-Kruger effect in political sophistication more widespread than before?,,"The dramatic expansion of social and digital media during the past fifteen years has fundamentally transformed the media landscape in Western democracies. Nevertheless, we still know little about t...",https://www.tandfonline.com/doi/full/10.1080/17457289.2023.2214734#abstract,,2024-12-02T21:48:37.772Z,https://covers.tandf.co.uk/og/FBEP.png,,false
913168338,"How Americans Get News on TikTok, X, Facebook and Instagram",,"X is still more of a news destination than these other platforms, but the vast majority of users on all four see news-related content.",https://www.pewresearch.org/journalism/2024/06/12/how-americans-get-news-on-tiktok-x-facebook-and-instagram/,,2024-12-02T21:48:28.576Z,https://www.pewresearch.org/wp-content/uploads/sites/20/2024/06/PJ_2024.06.12_social-media-platforms-news_featured.png?w=1200&h=628&crop=1,,false
913168311,"Planned Relocations: What We Know, Don’t Know, and Need to Learn - Researching Internal Displacement",,"This timely and insightful assessment of ’planned relocations’ flags critical knowledge, normative and governance gaps in both research and practice. With climate-related planned relocations already widespread and set to increase, this short piece aims to catalyse greater dialogue around the research agenda for planned relocation - priority topics as well as methodological considerations on how future research is conducted.",https://researchinginternaldisplacement.org/short_pieces/planned-relocations-what-we-know-dont-know-and-need-to-learn/,,2024-12-02T21:48:19.387Z,https://researchinginternaldisplacement.org/wp-content/uploads/2023/03/thumbnail_Tukuraki-10.jpg,,false
913168280,What happens when climate change and the mental-health crisis collide?,,Nature - The warming planet is worsening mental illness and distress. Researchers need to work out the scale of the problem and how those who need assistance can be helped.,https://www.nature.com/articles/d41586-024-00993-x,,2024-12-02T21:48:06.083Z,https://media.nature.com/lw1200/magazine-assets/d41586-024-00993-x/d41586-024-00993-x_26947184.jpg,,false
913168190,Zillow introduces First Street's comprehensive climate risk data on for-sale listings across the US,,"Zillow® is introducing climate risk data, provided by First Street, the standard for climate risk financial modeling, on for-sale property listings across the U.S. Home shoppers will gain insights into five key risks—flood, wildfire, wind, heat and air quality—directly from listing pages, complete with risk scores, interactive maps and insurance requirements. With more than 80% of buyers now considering climate risks when purchasing a home , this feature provides a clearer understanding of potential hazards, helping buyers to better assess long-term affordability and plan for the future. In assisting buyers to navigate the growing risk of climate change, Zillow is the only platform to feature tailored insurance recommendations alongside detailed historical insights, showing if or when a property has experienced past climate events, such as flooding or wildfires. ""Climate risks are now a critical factor in home-buying decisions,"" said Skylar Olsen, chief economist at Zillow. ""Healthy",https://investors.zillowgroup.com/investors/news-and-events/news/news-details/2024/Zillow-introduces-First-Streets-comprehensive-climate-risk-data-on-for-sale-listings-across-the-US/default.aspx,,2024-12-02T21:47:44.538Z,https://mma.prnewswire.com/media/2515973/2024_ZIllow_Climate_Risk_Score.jpg,,false
913168164,A Climate Resistant Community Passed Two Hurricane Tests,,"On the west coast of Florida, a town built to weather hurricanes hosted more than 2,000 people during Hurricane Milton. Could communities like this help shape Florida’s future?",https://www.nytimes.com/2024/10/15/climate/florida-climate-resilience-babcock-ranch.html,,2024-12-02T21:47:30.609Z,https://static01.nyt.com/images/2024/10/15/multimedia/15CLI-BABCOCK-RESILIENCE-01-vzpc/15CLI-BABCOCK-RESILIENCE-01-vzpc-largeHorizontalJumbo.jpg,,false
913168143,The road ahead for functional foods: Promising opportunities amidst industry challenges,,"Functional foods, fortified with bioactive compounds, offer health benefits beyond basic nutrition. Despite their potential, challenges such as compound instability, scalability issues, and regulator...",https://iadns.onlinelibrary.wiley.com/doi/full/10.1002/fpf2.12022,,2024-12-02T21:47:20.276Z,https://iadns.onlinelibrary.wiley.com/cms/asset/276f20b8-024f-4aae-99c6-39e9c590856d/fpf212022-toc-0001-m.jpg?trick=1733176039302,,false
913168122,Culinary Tourism Market Analysis Report 2024: Increasing Impact of Social Media on Shaping Travel Behaviors - Global Forecasts to 2032,,"Dublin, March  18, 2024  (GLOBE NEWSWIRE) -- The",https://www.globenewswire.com/news-release/2024/03/18/2847644/28124/en/Culinary-Tourism-Market-Analysis-Report-2024-Increasing-Impact-of-Social-Media-on-Shaping-Travel-Behaviors-Global-Forecasts-to-2032.html,,2024-12-02T21:47:11.270Z,https://ml.globenewswire.com/Resource/Download/908fb457-7f8e-4a08-9081-5565e3dfb3d7,,false
913168102,Opinion | Electric Cars Emit More Particulate Pollution,,"They have greater tire wear, the source of most particulate matter. California is trying to conceal that fact.",https://www.wsj.com/articles/electric-cars-emit-more-soot-california-ban-gas-powered-vehicles-521b29e3,,2024-12-02T21:47:01.869Z,https://images.wsj.net/im-932881/social,,false
913168079,How solar farms in space might beam electricity to Earth,,A European Space Agency plan to harvest energy from the sun and beam it back down to Earth could generate energy equal to that of a nuclear power plant.,https://www.weforum.org/stories/2022/11/solar-farms-in-space-electricity-to-earth-energy-climate-change/,,2024-12-02T21:46:50.129Z,https://assets.weforum.org/article/image/responsive_large_q7ZD7p83Tt4cod5Sj7D64yXEEpilMZJAWhT8a1rRY3k.jpg,,false
913167940,How wind energy is reshaping the future of global politics,,Wind energy is becoming an important strategic resource. Energy and supply chain shocks spurred countries around the world to boost their wind investments.,https://www.weforum.org/stories/2024/05/how-wind-energy-is-reshaping-the-future-of-global-power-and-politics/,,2024-12-02T21:45:48.340Z,https://assets.weforum.org/article/image/responsive_large_spL-wqJ8L8TBZqa5IQs2plPJDr8WcPJ9EXE2pI4Cewk.JPG,,false
913167895,Energy companies aren't the main investors in energy startups anymore -,,Half of all of the energy startups raising money from corporate investors in 2024 tapped up companies outside the energy sector.,"https://globalventuring.com/corporate/investment/energy-companies-investors-startups/#:~:text=The%20tech%20industry%20has%20been,sector%20could%20double%20by%202026.",,2024-12-02T21:45:28.973Z,https://globalventuring.com//content/uploads/2024/10/Canva-image.png,,false
913167860,All power is local: The nitty-gritty of the US energy grid,,"As data center energy use rockets, companies on the disparate US power grid are having to work together",https://www.datacenterdynamics.com/en/analysis/us-grid-power-crunch/,,2024-12-02T21:45:15.359Z,https://media.datacenterdynamics.com/media/images/Screenshot_2024-09-09_170309.2e16d0ba.fill-1200x630.png,,false
